Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
老	lǎo	lou⁵	노?, 로?	lão	aged; old
渴	kě	hot³	갈	khát	thirst
甚	shén	sam⁶	심	thậm	extreme; very; a superlative particle
見	jiàn	gin³	견?, 현?	kiến	to see; to apprehend
壺	hú	wu⁴	호		a pot; a vase; a cup
欲	yù	juk⁶	욕	dục	to wish; to desire
飲	yǐn	jam²		ẩm	to drink; to swallow
深	shēn	sam¹	심	thâm	deep; profound; very; extremely
淺	qiǎn	cin²	천	thiển	shallow; superficial; vulgar
竭	jié	kit³	갈	kiệt	to exhaust; utmost
力	lì	lik⁶	력?, 역?	lực	strength; force; power
竭力	jié lì	kit³ lik⁶		kiệt lực	to exhaust one's full strength
伸	shēn	san¹	신		to stretch; to extend
喙	huì	fui³	훼		a beak; a mouth
卒	zú	zeot¹	졸	tốt	a servant; a soldier; to finish; to die; finally
仰	yǎng	joeng⁵	앙	ngưỡng	to look up; face upwards; to raise
首	shǒu	sau²	수	thủ	the head; chief; first; leader
若	ruò	joek⁶	야?, 약?	nhược	as; as if; if like
忽	hū	fat¹	홀	hốt	careless; indifferent; suddenly; instantly
飛	fēi	fei¹	비	phi	"to fly "
去	qù	heoi³	거	khứ	to go away; to depart
銜	xián	haam⁴	함		to carry in the mouth; rank; official title
石	shí	sek⁶	석	thạch	stone; rock; mineral
投	tóu	tau⁴	투	đầu	to throw at; to throw into; to hand over;
往	wǎng	wong⁵	왕	vãng	to go; past; gone; formerly
返	fǎn	faan²	반	phản	to return; on the contrary
十	shí	sap⁶	십	thập	ten
餘	yú	jyu⁴	여	dư	remainder; surplus; balance
次	cì	ci³	차	thứ	second; next in order; a time; a turn
積	jī	zik¹	적	tích	to accumulate; to pile up
升	shēng	sing¹	승	thăng	to ascend; to rise
解	jiě	gaai²	해	giải	to loosen; to undo; to explain; to get rid of; to get free from
