Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
杖	澄開三陽上	zhàng	zoeng⁶	장	trượng	a staff; the heavy bamboo with which criminals are beaten
寃		yuān	jyun¹	원		oppression; injustice; a wrong
寃苦						to grieve over wrongs
控	溪二江平?, 溪一東去?	kòng	hung³	공	khống	to control; to accuse; to charge; to lay a plaint
罔	明三陽上	wǎng	mong⁵	망	vóng	not; without
東嶽廟						the temple dedicated to the spirit of Mount T'ai-shan, the sacred mountain in Shantung
嶽	疑二江入	yuè	ngok⁶	악		
跪	溪合三B支上?, 羣合三B支上?	guì	gwai⁶	궤	quỳ	to kneel
祝	章三尤去?, 章三東入?	zhù	zuk¹	축	chúc	to invoke; to pray to
哭	溪一東入	kū	huk¹	곡	khóc	to cry; to weep
無何						soon; suddenly
錯愕						to be frightened
咥	徹開三眞入?, 定開四先入?, 端開四先入?	xì	hei³	희	chối	 to bite
咥噬						to bite; to eat
噬	常開三祭去	shì	sai⁶	서	phè	
蹲	從合一魂平	dūn	cyun⁴	준		to squat
俯	幫三虞上	fǔ	fu²	부		to come down; to condescend
俯聽						to allow; to suffer
縛	並三歌去?, 並三陽入?	fù	bok³	박		to bind; to tie up
線索						a rope; fetters
帖	透開四添入	tiē	tip³	첩	thiếp	a label; a card. to droop down
縣署						the office of the district magistrate
殘	從開一寒平	cán	caan⁴	잔	tàn?, thàn?	to injure; to destroy
殘年						the evening of life
殘年垂盡						to grow old; to be near to the end of life
赦	書開三麻去	shè	se³	사	xá	to pardon
釋縛						to loose one's bonds; to set free
遲旦						next morning
扉	幫三微平	fēi	fei¹	비		a door
鹿	來一東入	lù	luk⁶	녹?, 록?	lộc	a stag; a deer
資度						to help make living
帛	並二庚入	bó	baak⁶	백		silk; wealth
裕	以三虞去	yù	jyu⁶	유	dịu	abundant; plenty
豐	滂三東平	fēng	fung¹	풍	phong	luxuriant; abundant
豐裕						wealthy
徳		dé	dak¹	덕		kindly feeling; to be grateful
猜	清開一咍平	cāi	caai¹	시		to guess
忌	羣開三之去	jì	gei⁶	기	kị	to dread; to shun; to avoid
猜忌						to suspect and dislike
綽	昌開三陽入	chuò	coek³	작	xước	ample; spacious. liberal
營葬						to manage a funeral
瘞	影開三B祭去	yì	ji³			a retired spot. to bury
壘	來合三脂上	lěi	leoi⁵	누?, 루?	luỹ	a wall; a rampart
賓	幫三A眞平	bīn	ban¹	빈	tân	a visitor; a guest
冢	知三鍾上	zhǒng	cung²	총		a grave; a mound
嘷		háo	hou⁴	호		to howl; to bawl
嘷鳴						to howl; to roar
祠	邪開三之平	cí	ci⁴	사	từ	a temple; to worship ancestors
