Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
緣由						cause; reason
嚴冷						very cold
行工						to proceed with the work
事故						matter; circumstances
拆		chāi	caak³	탁	sách	to break up
革	見開二耕入	gé	gaak³	혁		to change; to remove
拆革						to dismiss from office
狡	見開二肴上	jiǎo	gaau²	교	giảo	craft; cunning
暖	泥合一寒上	nuǎn	nyun⁵	난		warm
大夫						a great officer
質點						atom; particle
密	明三B眞入	mì	mat⁶	밀	mật	close; thick; dense
棉	明三A仙平	mián	min⁴	면		cotton
棉花						cotton
輕	溪開三清平?, 溪開三清去?	qīng	hing¹	경	khinh	light. easy
疏	生開三魚平?, 生開三魚去?	shū	so¹	소	sớ	distant; loose. coarse
梁	來開三陽平	liáng	loeng⁴	량?, 양?	lương	a bridge. proper name (an ancient small feudal state)
糜	明三B支平	mí	mei⁴	미		rice-gruel; congee
爛	來開一寒去	làn	laan⁶	난?, 란?	lạn	bright. rotten; broken
糜爛						reduced to a pulp (as by pressure)
蔬食						coarse food; coarse rice
菜	清開一咍去	cài	coi³	채		culinary vegetables
羹	見開二庚平	gēng	gang¹	갱		soup
摺	來開一覃入?, 章開三鹽入?	zhé	zip³	접	dập	to fold. a State paper
摺子						memorial to the Throne
發抄						to publish
確	溪二江入	què	kok³	확	xác	
重情						matters of importance
定奪						to decide
奪	定合一寒入	duó	dyut⁶	탈	đoạt	to carry off; to settle
財	從開一咍平	cái	coi⁴	재	tài	property; wealth
機密						secret
