Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
法人						the juridical person
許	曉開三魚上	xǔ	heoi²	허	hứa	to promise; to agree to
認許						to recognize
成立						to establish; to complete
關於						regarding; concerning
能力						capacity (legal qualifications)
行為		xíng wéi				conduct; actions
法律行為						juridical acts; legal acts
親族法						the family law
繼	見開四齊去	jì	gai³	계	kế	to connect; to continue
繼承						succession
繼承法						the law of succession
不動產						immovables
限	匣開二山上	xiàn	haan⁶	한	hạn	a limit; a boundary
固有						original
