Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
歟	以開三魚平?, 以開三魚上?, 以開三魚去?	yú	jyu⁴	여	ru	
弟,悌	定開四齊上	tì	dai⁶?	제	đễ?	fraternal duty
厲	來開三祭去	lì	lai⁶	려	lẹ	severe; oppressive; cruel
荏	日開三侵上	rěn	jam⁵	임		soft; weak
譬	滂三A支去	pì	pei³	비	thí	to compare; like
窬	以三虞平?, 定開一侯平?, 定開一侯去?	yú	jyu⁴	유		a hole in a wall; a small window
穿窬						to make a hole in a wall (as burglars do)
朋	並一登平	péng	pang⁴	붕	bằng	a friend. to match; to pair
巍	疑合三微平	wēi	ngai⁴	외	nguy	lofty; eminent
訟	邪三鍾平?, 邪三鍾去?	sòng	zung⁶	송	tụng	to demand justice; to accuse
不幾						almost; nearly
召	澄開三宵去?, 常開三宵去?	zhào	ziu⁶	소	chịu	to call; to summon
累	來合三支上	lěi	leoi⁶?	누?, 루?	luỵ?	to bind
累	來合三支去	lèi	leoi⁶?	누?, 루?	luỵ?	to involve; to implicate; to trouble
