Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
果然						actually; truly
操作						to do manual work
技	羣開三B支上	jì	gei⁶	기	kĩ	skill; ability; a trick
不負						not to be in vain
隔	見開二耕入	gé	gaak³	격	cách	a partition; to divide. to block up
咒		zhòu	zau³		chú	to recite incantations
俛	明三B仙上	miǎn	min⁵	면		to make effort
俛	?	fǔ	?	?		to hang down the head
驟	崇三尤去	zhòu	zaau⁶	취	sậu	quickly; suddenly
逡	清合三眞平	qūn	seon¹	준		to hesitate; to shrink
巡	邪合三眞平	xún	ceon⁴	순	tuần	to patrol; to inspect
逡巡						to hesitate
潔	見開四先入	jié	git³	결	khiết	clear; clean
潔持						to observe cleanness
驗,騐	疑開四先去	yàn	jim⁶	험	nghiệm	to examine; to be effective
資斧						to give traveling expenses
抵	端開四齊上	dǐ	dai²	저		to substitute. to bear. to arrive
詡	曉三虞上	xǔ	heoi²	후		to boast; to brag
傚	匣開二肴去	xiào	haau⁶	효		to imitate
驀	明二庚入	mò	mak⁶	맥		to spring up
驀然						suddenly; at once
踣	滂一侯去?, 並一登入?	bó	baak⁶		vội	to fall down
額	疑開二庚入	é	ngaak⁶	액	ngạch	the forehead
墳	並三文平?, 並三文上?	fén	fan⁴	분	phần	a grave; a dike。 great; big
墳起						to swell up
揶		yé	je⁴	야		to gesticulate; to posture
揄	以三虞平?, 以三尤平?, 定開一侯平?, 定開一侯上?	yú	jyu⁴	유		to draw out; to extol
揶揄						to ridicule; to make game of
慚	從開一談平	cán	caam⁴	참	tuồm	ashamed
忿	滂三文上?, 滂三文去?	fèn	fan⁵	분	phẫn	
駡		mà	maa⁶			
