Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
黎	來開四齊平	lí	lai⁴	려?, 여?	lê	black; black-haired
黎明						early dawn; daybreak
動身						to start
剪	精開三仙上	jiǎn	zin²	전	tiện	scissors; to cut with scissors
訣	見合四先入	jué	kyut³	결		a secret; a mystery
移	以開三支平	yí	ji⁴	이	dời	to remove; to shift; to change
放	幫三陽上?, 幫三陽去?	fàng	fong³	방	phóng	to let go; to loosen
放心						to cease to be anxious about
庶	書開三魚去?, 章開三魚去?	shù	syu³	서	thứ	all; numerous. so that
匪	幫三微上	fěi	fei²	비	phỉ	not; without. brigands
盜匪						robbers; brigands
無從						no way; no possibility
進步						to make progress; to approach
斯	心開三支平	sī	si¹	사		this; such. then
做		zuò	zou⁶	주		
枉	影合三陽上	wǎng	wong²	왕	uổng	crooked
恒,恆		héng	hang⁴	항		constant; permanent
發憤						to be roused to effort
是故						for that reason; therefore
仲尼						the common name of Confucius
桓	匣合一寒平	huán	wun⁴	환		pillars or stone tablets at graves; a proper name
是以						therefore
事端						occasion of trouble
相遇						to come into contact
條約						a treaty
遂即						thereupon
兔	透一模去	tù	tou³	토	thỏ	
撲	滂一東入	pū	pok³	박	vục	to strike; to rush against
撲滅						to extinguish (as fire)
輪	來合三眞平	lún	leon⁴	륜?, 윤?	luân	a wheel; a turn
舶	並二庚入	bó	bok⁶	박		an ocean-going junk
輪舶						a steamer
於是						at that; thereupon
交通						communication
耨	泥開一侯去?, 泥一冬入?	nòu	nau⁶	누	nậu	to hoe; to weed
