Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
周	zhōu	zau¹	주	chu	
幽	yōu	jau¹	유		
惑	huò	waak⁶	혹	hoặc	
褒	bāo	bou¹	포		
姒	sì	ci⁵	사		
乘	chéng	sing⁴	승	thặng	
馳	chí	ci⁴	치		
驅	qū	keoi¹	구	xúi	
戈	gē	gwo¹	과	qua	
適	shì	sik¹	적	thích	
性	xìng	sing³	성	tính	
喜	xǐ	hei²	희	hỉ	
笑	xiào	siu³	소		
端	duān	dyun¹	단	đoan	
嘗	cháng	soeng⁴	상		
烽	fēng	fung¹	봉		
燧	suì	seoi⁶	수		
諸	zhū	zyu¹	제	chư	
侯	hóu	hau⁴	후	hậu	
約	yuē	joek³	약?, 요?	ước	
寇	kòu	kau³	구	khấu	
舉	jǔ	geoi²		cử	
悅	yuè	jyut⁶	열	dột	
火	huǒ	fo²	화	hoả	
戎	róng	jung⁴	융	nhung	
攻	gōng	gung¹	공	công	
徵	zhǐ?, zhēng?	zi²	징	trưng	
殺	shā	saat³	살?, 쇄?	sát	
驪	lí	lei⁴	려?, 여?		
虜	lǔ	lou⁵	노?, 로?		
