Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
吳	疑一模平	wú	ng⁴	오	ngô	to bawl; name of an ancient feudal state
孺	日三虞去	rú	jyu⁶	유	nhọ	a child
小孺子						a proper name
荆		jīng	ging¹			a bramble; a thorn. name of the State of Ch'u
左	精開一歌上?, 精開一歌去?	zuǒ	zo²	좌	tả	the left hand
右	云三尤上?, 云三尤去?	yòu	jau⁶	우	hữu	the right hand
左右						left and right; in the presence of; attendants
舍人						a retainer; a courtier
懷	匣合二皆平	huái	waai⁴	회	hoài	to embrace; to carry in bosom; to cherish
丸	匣合一寒平	wán	jyun⁴	환	hoàn	a ball; a pellet
彈	定開一寒平?, 定開一寒去?	dàn	daan⁶	탄	đàn	a crossbow
園	云合三元平	yuán	jyun⁴	원	viên	an enclosure; a garden
後園						a back garden
露	來一模去	lù	lou⁶	노?, 로?	lộ	dew
沾	知開三鹽平?, 透開四添平?, 端開四添去?	zhān	zim¹	첨	chăm	to moisten; to imbue
何苦						why? what for?
蟬	常開三仙平	chán	sim⁴	선		the cicada or broad locust
螳	定開一唐平	táng	tong⁴	당		a mantis
螂		láng	long⁴	랑		a mantis
螳螂						a praying mantis
委	影合三B支平?, 影合三B支上?	wěi	wai²	위	uỷ	to relegate; to send
曲	溪三鍾入	qū	kuk¹	곡	khúc	crooked; false. songs
委曲						crooked; tortuous
委身曲附						to bend body and lay in ambush
雀	精開三陽入	qiǎo	zoek³	작	tước	small birds in general
黃雀						the oriole
啄	端一東入?, 知二江入?	zhuó	doek³	탁	trốc	to peck up
罷	並三B支平?, 並三B支上?, 並二佳上?	bà	baa⁶	파	bãi	to stop; to finish
