Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
枕	澄開三侵平?, 章開三侵上?, 章開三侵去?	zhěn	zam²	침	chẳm	a pillow. to lie down; to sleep
窗		chuāng	coeng¹	창	song	a window
隙	溪開三庚入	xì	gwik¹	극	khích	
隙	溪開三庚入	xì	gwik¹	극	khích	a fissure; a crack
窣	心合一魂入	sū	seot¹	솔		to rush out of a den
捉	莊二江入	zhuō	zuk¹	착	tróc	to grasp; to seize
飄	並三A宵平?, 滂三A宵平?	piāo	piu¹	표	phiêu	to whirl
尋	邪開三侵平	xún	cam⁴	심	tầm	to search; to seek
遁	定合一魂上?, 定合一魂去?	dùn	deon⁶	둔	trốn	to hide away; to conceal oneself
窣窣						a rustling sound
迎手						under the blow
斫	章開三陽入	zhuó	zoek³	작		
倒	端開一豪上?, 端開一豪去?	dào	dou²	도	đảo	to fall down
燭	章三鍾入	zhú	zuk¹	촉	đuốc	candle; to illumine
臥	疑合一歌去	wò	ngo⁶	와		to lie down
踰	以三虞平	yú	jyu⁴	유		to pass; to exceed
逾時						after a while
穿	昌合三仙平?, 昌合三仙去?	chuān	cyun¹	천	xuyên	to bore through
獰	孃開二庚平	níng	ning⁴	녕?, 영?	nanh	wicked; fierce
怪獰						hideously ugly
蠕		rú,ruǎn	jyu⁴	연		to wriggle (as a worm)
劍劍						stroke after stroke
耎	日合三仙上	ruǎn	jyun⁵			soft; weak
審	書開三侵上	shěn	sam²	심	thẩm	to examine into; to investigate
審視						to make a close inspection
土偶						a clay idol
片	滂四先去	piàn	pin³	편	phiến	a slip; a slice; a leaf
於是						thereupon
久之						a long while
牛	疑三尤平	niú	ngau⁴	우	ngưu	an ox; a bull; a cow
喘	昌合三仙上	chuǎn	cyun²	천	suyễn	to pant; to breathe
櫺	來開四青平	líng	ling⁴			the lattice of a window
窗櫺						a window-frame
壁	幫四青入	bì	bik¹	벽	bích	a wall
震	章開三眞去	zhèn	zan³	진		to shake; to agitate
搖	以開三宵平?, 以開三宵去?	yáo	jiu⁴	요	gieo	to shake; to move
震搖						to shake
傾	溪合三清平	qīng	king¹	經	khuynh	to fall. to turn towards
覆壓						to press down; to crush
砉	曉合二庚入?, 曉合四青入?	huò	waak⁶			the sound of tearing the skin off an animal
砉然						with a crash
脫	定合一寒入?, 透合一寒入?	tuō	tyut³	탈?, 태?		to take off; to remove
扃	見合四青平	jiōng	gwing¹	경		a bar; a bolt
簷	以開三鹽平	yán	jim⁴	첨		
巨	羣開三魚上	jù	geoi⁶	거		great; huge
眼	疑開二山上	yǎn	ngaan⁵	안	cua?, nhản?	the eye
閃	書開三鹽上?, 書開三鹽去?	shǎn	sim²	섬		to flash
爍	書開三陽入	shuò	soek³	삭		bright
閃爍						flashing like lightning
履	來開三脂上	lǚ	lei⁵	리?, 이?		a shoe. to tread
