Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
煤	méi	mui⁴	매	muồi	
植	zhí	zik⁶	식	thực	
森	sēn	sam¹	삼	chùm	
林	lín	lam⁴	림?, 임?	lâm	
獨	dú	duk⁶	독	độc	
陵	líng	ling⁴	능?, 릉?	lăng	
谷	gǔ	guk¹	곡	cốc	
遷	qiān	cin¹	천	thiên	
湮	yān	jin¹	인		
壓	yā	aat³	압	áp	
既	jì	gei³			
沙	shā	saa¹	사	vành?, sa?	
泥	ní	nai⁴	니?, 이?	nhãn?, nề?	
掘	jué	gwat⁶	굴	quật	
黑	hēi	hak¹	흑	hắc	
脆	cuì	ceoi³	취		
碎	suì	seoi³	쇄	toái	
耐	nài	noi⁶	내		
柴	chái	caai⁴	시	sài	
薪	xīn	san¹	신		
機	jī	gei¹	기	cơ	
賴	lài	laai⁶	뢰		
產	chǎn	caan²	산		
礦	kuàng	kong³		khoáng	
興	xìng	hing¹	흥	hưng	
開	kāi	hoi¹	개	khai	
探	tàn	taam³	탐	thám	
美	měi	mei⁵	미	mỉ	
待	dài	doi⁶	대	đãi	
源	yuán	jyun⁴	원	nguồn	
壟	lǒng	lung⁵	농?, 롱?	lũng	
斷	duàn	dyun⁶	단		
痛	tòng	tung³	통	thống	
