Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
志	zhì	zi³	지	chí	
浸	jìn	zam³	침	tắm	
攢	zǎn	cyun⁴	찬		
句	jù	geoi³	구?, 귀?	câu	
萌	méng	mang⁴	맹	manh	
漸	jiàn	zim⁶	점	tiệm	
俄	é	ngo⁴	아		
葉	yè	jip⁶	섭?, 엽?	diệp	
扶	fú	fu⁴	부	phù	
疎	shū	so¹	소		
倐	shū	suk¹			
花	huā	faa¹	화	hoa	
碩	shuò	sek⁶	석	thạc	
馥	fù	fuk¹	복	phức	
纍	léi	leoi⁴	류		
摘	zhāi	zaak⁶	적	trích	
頃	qǐng	king²	경	khoảnh	
丁	dīng	ding¹	정	đinh	
良	liáng	loeng⁴	량?, 양?	lương	
徐	xú	ceoi⁴	서	chờ	
俵	biào	biu²	표		
細	xì	sai³	세	tới	
靶	bǎ	baa²			
鑿	záo	zok⁶	착	tạc	
憤	fèn	fan⁵	분	phẫn	
恨	hèn	han⁶	한	hận	
迹	jī	zik¹	적	tích	
隅	yú	jyu⁴	우		
粲	càn	caan³	찬		
