Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
五	wǔ	ng⁵	오	ngũ	five
田	tián	tin⁴	전	điền	fields; arable land
饒	ráo	jiu⁴	요	nhiêu	abundance; indulgent
謂	wèi	wai⁶	위		to speak; to say; to be called
魯	lǔ	lou⁵	노?, 로?	lỗ	vulgar; simple; the name of a feudal state
哀	āi	oi¹	애	ai	to grieve; to mourn; here; the name of a duke of the Lu state
公	gōng	gung¹	공	công	public; just; equitable; duke; a gentleman; Sir; Mr.
夫	fū	fu¹	부	phu	a man; a husband
頭	tóu	tau⁴	두	đầu	the head; the top; the chief; the best
戴	dài	daai³	대		to wear on the head; to sustain
冠	guān	gun¹	관	quán	a conical cap; the comb or crest of bird
文	wén	man⁴	문	văn	elegant. The written language; literary; civil
撐	chēng	caang¹	탱		to prop up; to stretch out
距	jù	keoi⁵	거	cựa	a bird's spur; distant
武	wǔ	mou⁵	무	vũ	military; war-like
敵	dí	dik⁶	적	địch	to oppose; enemy
鬭	dòu	dau³		đấu	to fight; to contest
勇	yǒng	jung⁵	용	dũng	courage; brave
食	shí	sik⁶	식		to eat; to drink; food
相	xiāng	soeng¹	상	tương	mutual; reciprocal
義	yì	ji⁶	의	nghĩa	duty; loyal; faithful; heroic
司	sī	si¹	사	ti	to control; to manage
晨	chén	san⁴	신	thần	dawn; morning
實	shí	sat⁶	실?, 지?	thực	real; genuine; true; truly
覯	gòu	gau³	구		to meet with; to see
