Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
術	船合三眞入	shù	seot⁶	술	thuật	an art; a trick
妖術						magical arts
任	日開三侵平?, 日開三侵去?	rèn	jam⁶	임	nhậm	
俠	匣開四添入	xiá	hap⁶	협	hiệp	heroic; bold
任俠						to be of a heroic temperament
拳	羣合三B仙平	quán	kyun⁴	권	quyền	the fist
拳勇						exercises requiring strength and courage
旋	邪合三仙平?, 邪合三仙去?	xuán	syun⁴	선	toàn	to turn round
舞	明三虞上	wǔ	mou⁵	무	vũ	to dance; to brandish
旋風舞						the whirlwind feat (brandishing a weight in some way over the head)
崇	崇三東平	chóng	sung⁴	숭	sùng	lofty. to reverence
崇禎						the title of reign of emperor Chuang-lieh-ti of the Ming dynasty
殿	定開四先去?, 端開四先去?	diàn	din⁶	전	điện	a hall; a palace
試	書開三之去	shì	si³	시	thí	to try; to test
殿試						the palace examination (for admission of selected doctors 進士 to the Han-lin 翰林 College)
都	端一模平	dōu?, dū?	dou¹	도	đô	the capital
疫	以合三清入	yì	jik⁶	역	dịch	sickness; to get sick
卦	見合二佳去	guà	gwaa³	괘	quái	to divine; a diagram
起卦						to cast a horoscope
愕	疑開一唐入	è	ngok⁶	악	ngạc	to start; to be frightened
愕然						in alarm
詫	徹開二麻去	chà	caa³	타		to be astonished
鄙人						I; myself
十金						ten ounces of silver
罄	溪開四青去	qìng	hing³	경	khánh	to empty; exhausted
橐	透開一唐入	tuó	tok³	탁		a sack; a bag
倏忽						quickly; suddenly
端坐						to seat in formal manner; to seat and wait
旅	來開三魚上	lǚ	leoi⁵	려?, 여?	lữ	a guest; to travel
旅舍						an inn
靜	從開三清上	jìng	zing⁶	정		quiet; still
恙	以開三陽去	yàng	joeng⁶	양		to spy; to peep
闔	匣開一談入	hé	hap⁶	합		to close
戶	匣一模上	hù	wu⁶	호		door; family
挑	透開四蕭平?, 透開一豪平?, 定開四蕭上?	tiāo	tiu¹	도	vẹo	to raise; to stir up
挑燈						to trim the lantern
倚	影開三B支上?, 影開三B支去?	yǐ	ji²	의	ỷ	to lean; to rely on
危坐						to seat and wait (for a danger)
一漏						a period of two hours; the first night-watch
將盡						near to the end; nearly gone
