Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
義國						Italy
首相						the prime-minister
痲	明二麻平	má	maa⁴	마		numbness; paralysis
痺		bì	bei³	비		rheumatism; numbness
痲痺						numb; dead to all sensation of touch
萎	影合三B支平?, 影合三B支去?	wěi?, wēi?	wai²	위		to wither
委頓						wrecked; ruined; broken down
政黨						a political party
僚	來開四蕭平?, 來開三宵上?	liáo	liu⁴	료?, 요?	liêu	a companion; a colleague
官僚						officials
茫	明一唐平	máng	mong⁴	망	mương	vague; vast
茫然						to be puzzled; to be unable to determine
自失						to be absent-minded; to be at a loss
無政府						anarchy
赤	昌開三清入	chì	cek³	적	xích	red. naked; bare
赤化						bolshevism
歡						to rejoice
迎	疑開三庚平?, 疑開三庚去?	yíng	jing⁴	영	nghênh	to receive; to welcome
歡迎						to welcome; to give a warm reception
內閣						the Cabinet
迭	定開四先入	dié	dit⁶	질	dật	to alternate; to change
更迭						to change
基						the foundation of a wall
礎	初開三魚上	chǔ	co²	초	sờ	the base of a pillar
基礎						the foundation; the basis
林立						numerous
經濟						economics
繁榮						flourishing; prosperous
失業						to be out of employment
困	溪合一魂去	kùn	kwan³	곤	khốn	distress; anxiety
困難						difficulty
信任						to confide in; to believe in
痛感						to painfully realize; to be obliged to admit
軟	日合三仙上	ruǎn	jyun⁵	연	nhuyễn		
