Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
印	影開三A眞去	yìn	jan³	인	ấn	a seal; a stamp; to print
印度						India
朝鮮						Korea
非洲						Africa
殖	常開三蒸入	zhí	zik⁶	식		to prosper; to abound; to cultivate
殖民						to colonize
手段						skill with hand; method
元氣						constitution; health
精華						the elite; the quintessence; cream; spirit
有若						something like
為役						to serve; to be of use
假借						to borrow; to use as a metaphor; to take another's name in order to get some advantage
結果						result; effect; consequence
妄為						unseemly act
歸宿						to fix; to determine
荒	曉合一唐平?, 曉合一唐去?	huāng	fong¹	황	hoang	wild; uncultivated; to neglect; to go to excess
荒誕						fictitious; factitious
平素						usually
騃	俟開三之上?, 疑開二皆上?	ái	ngoi⁴	애		stupid; foolish
童騃						foolish youngsters
覬	見開三B脂去	jì	gei³	기		to covet; to long for
覦	以三虞平?, 以三虞去?	yú	jyu⁴			to long for
覬覦						to wish for ardently
心術						principles; the heart
臭						stinking; strong-smelling
臭壞						rotten
天功						heaven-sent success
釀	孃開三陽去	niàng	joeng⁶	양		to ferment; to excite; to bring about
無窮						inexhaustible; infinite
禍端						calamity; evil
滅種						the extinction of a race
黨派						a party
警	見開三庚上	jǐng	ging²	경	khểnh	
惕	透開四青入	tì	tik¹	척	thích	to be alarmed
警惕						to be afraid of; to be alarmed
四民						the four classes of people (scholars, farmers, artisans, and merchants)
囂	曉開三B宵平	xiāo	hiu¹	효	hiu	to vociferate; clamor; to insult
囂張						clamoring and boastful
位置						situation; position； to establish
予取予求						to get what I like
株	知三虞平	zhū	zyu¹	주	chò	the trunk of a tree
乏	並三凡入	fá	fat⁶	핍	phạp	to be in want of; deficient; lacking
繁	並三元平?, 並一寒平?, 並一歌平?	fán	faan⁴	번	phồn	
實繁有徒						truly a great crowd
陋	來開一侯去	lòu	lau⁶	누?, 루?	lậu	mean; low; vulgar
淺陋						vile; mean; low
到處						everywhere
佈	幫一模去	bù	bou³	포		
陷阱						a pit; a trap
蜂	並一東平?, 滂三鍾平?	fēng	fung¹	봉	ong	a bee; a wasp
躉		dǔn	dan²	돈		a sting in the tail
狂	羣合三陽平?, 羣合三陽去?	kuáng	kong⁴	광	cuồng	mad; wild
狂言						nonsense; wild talk
哲	知開三仙入	zhé	zit³	철	triết	wise; discerning
明哲						wise; shrewd
譏	見開三微平	jī	gei¹	기		to slander; to mock at
大雅						highly refined
誚	從開三宵去	qiào	ciu³	초		to ridicule
