Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
事務管理						management of affairs without mandate (negotiorum gestio)
不當利得						unjustified benefits
不法行為						an unlawful act; a delict (delictum privatum)
損害						damages
處分						punishment; a disposition
但書						a proviso
但書規定						a proviso
票		piào	piu³	표	phiếu	a warrant; a bank note; a document
票據						negotiable papers; negotiable instruments
行使						to exercise
保全						to preserve
的	端開四青入	de	dik¹	적	đích	
目的						aim; object
公布						to promulgate
施行						to come into operation
