Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
同治						the title of reign of the Emperor who reigned from 1862 to 1875
餉	書開三陽去	xiǎng	hoeng²	향		rations for troops; taxes; revenue
稅餉						revenue
出入						difference (lit. to go out and in)
良民						loyal people
恭	見三鍾平	gōng	gung¹	공	cung	respectful; reverent
燬	曉合三B支上	huǐ	wai²	훼		a blazing fire; to burn
捕役						a constable
慟	定一東去	tòng	dung⁶	통	đỏng	affected; grieved
尾	明三微上	wěi	mei⁵	미	vĩ	the tail of an animal; the end
湍	透合一寒平?, 章合三仙平?	tuān	teon¹	단		water rushing; a torrent
