Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
愈	yù	jyu⁶	유	rủ	more; further; to be superior; to exceed
久	jiǔ	gau²	구	cửu	for a long time; a long while
加	jiā	gaa¹	가	gia	to add; to affix
速	sù	cuk¹	속	tốc	quickly; in a hurry
妙	miào	miu⁶	묘	diệu	excellent; admirable
更	gèng	gang¹	갱?, 경?	xâu?, canh?	more; further
要	yào	jiu³	요	yếu	to want; to need; important
件	jiàn	gin⁶	건	kiện	to divide; an article; an item; a subject
善	shàn	sin⁶	선	thiện	good; virtuous; clever
尤	yóu	jau⁴	우		an evil; a fault; more; still more
異	yì	ji⁶	리?, 이?		different; strange
怪	guài	gwaai³	괴		strange; supernatural; to blame
緊	jǐn	gan²	긴	khẩn	to bind tight; urgent; important
觀	guān	gun¹	관	quan	to gaze at; to look; to inspect
等	děng	dang²	등	đẳng	to wait; a class; a rank
					
虚	xū	heoi¹		hư	
分	fēn	fan¹	분	phân	
量	liàng	loeng⁴	량?, 양?		
平	píng	ping⁴	평	bình	
低	dī	dai¹	저	đây	
