Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
卜	bǔ	baak⁶	복	bốc	to divine; to foretell
卜者	bǔ zhě	baak⁶ ze²	복자	bốc giả	a fortune-teller; a diviner
坐	zuò	zo⁶	좌		to sit down; to rest; to remain
四	sì	sei³	사	tứ	four
達	dá	daat⁶	달	đạt	to pass through; to penetrate; a thoroughfare; to apprehend
衢	qú	keoi⁴	구		a point where roads meet; a thoroughfare
語	yǔ	jyu⁵	어	ngữ	to talk; words; language
休	xiū	jau¹	휴	hưu	to rest; to cease; prosperity
咎	jiù	gau³	구		fault; crime; calamity
奔	bēn	ban¹	분		to rush; to run; urgent
家	jiā	gaa¹	가	gia	the family; home; house; people; a class; a school
所	suǒ	so²	소	sỡ	a place; a particle of many uses
刧	jié	gip³	겁	kiếp	to rob; to plunder
具	jù	geoi⁶	구	cụ	to prepare; to arrange; all every; implements, utensils
盡	jǐn	zeon⁶	진	tận	exhausted; finished; the utmost; all; wholly; entirely;
a superlative particle					
喪	sāng	song¹	상	tang	to mourn
喪	sàng	song³	상		to lose; to destroy
倉	cāng	cong¹	창		a granary
惶	huáng	wong⁴	황	hoàng	to be afraid; nervous
倉惶	cāng huáng 	cong¹ wong⁴ 	창황 		flurried; excited
失	shī	sat¹	실	thất	to lose; to miss; to fail
措	cuò	cou³	조	thố	to arrange; to place; to raise; to publish
失措	shī cuò	sat¹ cou³	실조	thất thố	to lose one's head; to lose presence of mind
調	diào	diu⁶	조?, 주?	điều	to mix; to harmonize; to stir up; to excite; to tease
君	jūn	gwan¹	군	quân	sovereign; prince; ruler; a perfect man; a gentleman; sir; you
兆	zhào	siu⁶	조	triệu	an omen; a prognostic. a million
省	shěng	saang²	생?, 성?		a province; to spare
省	xǐng	sing²			to examine; to perceive
對	duì	deoi³	대	đỗi	to be opposite; to correspond with; to make a pair; to reply
