Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
蟲	澄三東平?, 澄三東去?	chóng	cung⁴	충	trùng	insects and reptiles
孩	匣開一咍平	hái	haai⁴	해	hài	a child
朋友						a friend
恭	見三鍾平	gōng	gung¹	공	cung	respectful; reverent
恭敬						to respect; to venerate
弑	書開三之去	shì	si³	시	thí	to murder a superior in age or rank
靡	明三B支上	mí	mei⁵	미	mị	not; there is not
辟	並三清入?, 幫三清入?, 滂三清入?	pì	pik¹	벽?, 피?	vếch	to punish. to be partial
皇父						a proper name
訒	日開三眞去	rèn	jan⁶			to be slow of speech
庾	以三虞上	yǔ	jyu⁴	유		a stack of grain
庾公斯						a proper name
尹	以合三眞上	yǐn	wan⁵	윤	doãn	
尹公他						a proper name
壙	溪合一唐去	kuàng	kwong³	광	khoảng	a tomb. a desert; wilderness
天子						emperor
瞽	見一模上	gǔ	gu²	고		blind
瞍	心開四蕭平?, 心開一侯上?	sǒu	sau²	수		blind
瞽瞍						the name of Shun's father
躬	見三東平	gōng	gung¹	궁	cung	the body
逮	定開四齊去?, 定開一咍去?	dǎi	dai⁶	체		to come up to; to reach
鄭	澄開三清去	zhèng	zeng⁶	정	trịnh	a feudal state (B.C. 774-500)
覆亡						to perish; to be ruined
暇	匣開二麻去	xià	haa⁶	가	hạ	leisure
不暇						imminent
