Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
勞山						the name of a mountain
邑	影開三B侵入	yì	jap¹	읍	ấp	a city; a village
行	匣開一唐平	háng	hang⁴?	항?, 행?	hàng?	a row; a line; a series
行七		háng qī				the 7th son
故家						an old family
慕	明一模去	mù	mou⁶	모	mộ	to love; to long for
仙	心開三仙平	xiān	sin¹	선	tiên	genii; "immortals" of Taoism (those who by physical and mental refinement have succeeded in deferring death or becoming exempt from dissolution)
笈	羣開三B侵入?, 羣開三B鹽入?, 初開二咸入?, 羣開三嚴入?	jí	kap¹	급	cặp	a box; a satchel
頂	端開四青上	dǐng	ding²	정	đính	the top
宇	云三虞上	yǔ	jyu⁵	우	vũ	the canopy of heaven。 to shelter
觀宇						a Taoist temple
蒲	並一模平	pú	pou⁴	포	bồ	a kind of rush from which mats are made
團	定合一寒平	tuán	tyun⁴	단	đoàn	a sphere; a mass; a lump
蒲團						rush mats for kneeling on in temples
素	心一模去	sù	sou³	소	tố	white; plain. mourning
髮	幫三元入	fà?, fǎ?	faat³	발		the hair
神觀						manner and aspect
邁	明二夬去	mài	maai⁶	매	mại	to surpass; to excel
爽邁						vigorous; energetic
叩	溪開一侯上	kòu	kau³	고	khấu	to salute by prostration and knocking the head; to kotow
元妙						abstruse; mystic
嬌	見開三B宵平?, 羣開三B宵平?, 見開三B宵上?	jiāo	giu¹	교	kiều	delicate; petted
惰	定合一歌上?, 定合一歌去?	duò	do⁶	타		lazy; idle
作苦						to live austerely; to endure hardships
門人						a disciple
薄	並一唐入	báo?, bó?	bok⁶	박		thin; indifferent. to reach
暮	明一模去	mù	mou⁶	모	mộ	evening; sunset
薄暮						near evening
畢	幫三A眞入	bì	bat¹	필	đứt?, tất?	to finish. all; together
稽	見開四齊平?, 溪開四齊上?	jī	kai¹	계	ghê	to examine; to investigate. to prostrate oneself
稽首						to knock the ground with the head
留	來三尤平?, 來三尤去?	liú	lau⁴	류?, 유?	lưu	to keep; to leave
凌晨						early in the morning
授	常三尤去	shòu	sau⁶	수	thụ	to give; to transmit
斧	幫三虞上	fǔ	fu²	부	búa	an axe; a hatchet
樵	從開三宵平	qiáo	ciu⁴	초		fuel
受樵						to receive instruction; to obey instruction
謹	見開三欣上	jǐn	gan²	근	cẩn	cautious; respectful
繭	見開四先上	jiǎn	gaan²	견	kén	the cocoon of the silkworm. corn; callosity
手足重繭						hands and feet badly chapped or blistered
志	章開三之去	zhì	zi³	지	chí	will; resolution; aim
歸志						to have intention to return home
夕	邪開三清入	xī	zik⁶	석	tịch	evening
酌	章開三陽入	zhuó	zoek³	작	chước	to drink wine
翦	精開三仙上	jiǎn	zin²	전		to cut with scissors
黏	孃開三鹽平	nián	nim⁴	점		paste; sticky; to paste
俄頃						in a moment
輝	曉合三微平	huī	fai¹	휘	huy	bright; shining; to shine
鑑	見開二銜平?, 見開二銜去?	jiàn	gaam³	감		a mirror; to glance at; to see
芒	明三陽平?, 明一唐平?	máng	mong⁴	망	mang	the awn of grain; a sharp point
毫芒						a hair
奔走						to hurry off; to travel quickly
宵	心開三宵平	xiāo	siu¹	소		night; dark
賚	來開一咍去	lài	loi⁶	뢰		to give; to bestow
囑	章三鍾入	zhǔ	zuk¹	촉	chúc	to bid; to order
醉	精合三脂去	zuì	zeoi³	취		drunk
徧	幫四先去	biàn	pin³	편		
盎	影開一唐上?, 影開一唐去?	àng	ong³	앙	áng	a basin
盂	云三虞平	yú	jyu⁴	우		a cup
盎盂						a bowl; a cup
釂	精開三宵去	jiào	ziu³			to drain a goblet
競	羣開三庚去	jìng	ging⁶	경		to wrangle; to emulate
樽	精合一魂平	zūn	zeon¹	준		a wine-jar; a goblet
挹	影開三A侵入	yì	jap¹	읍	úp	to bale out; to pour
挹注						to pour out
少減						to lessen; to diminish
