Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
瓊	qióng	king⁴	경	sừng?, quỳnh?	
宗	zōng	zung¹	종	tông	
契	qì	kai³	계?, 글?, 설?	khế	
丹	dān	daan¹	단?, 란?	đam	
帝	dì	dai³	제	đấy	
渡	dù	dou⁶	도	đò	
河	hé	ho⁴	하	hà	
宰	zǎi	zoi²	재	tể	
馮	féng	fung⁴	풍		
拯	zhěng	cing²	증	chửng	
旁	páng	pong⁴	방	bàng	
呵	hē	ho¹	가	ha	
怒	nù	nou⁶	노?, 로?	nộ	
章	zhāng	zoeng¹	장	chương	
騎	qí	ke⁴	기	kị	
賦	fù	fu³	부	phú	
詩	shī	si¹	시	thi	
眞	zhēn	zan¹	진		
張	zhāng	zoeng¹	장	trương	
黃	huáng	wong⁴	황		
龍	lóng	lung⁴	룡?, 용?	long	
旗	qí	kei⁴	기	cờ	
歲	suì	seoi³	세		
倍	bèi	pui⁵	배	bội	
运	yùn	wan⁶			
