Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
嫗	影三虞去	yù	jyu³	구	ẩu	an old woman
噬	常開三祭去	shì	sai⁶	서	phè	to bite; to eat
悲痛						to grieve
啼	定開四齊平	tí	tai⁴	제		to cry out; to wail
號啼						to wail
訴	心一模去	sù	sou³	소	tố	to tell; to lay a plaint
跳	定開四蕭平	tiào	tiu³	도	khêu	to jump; to skip
制止						to stop; to restrain
畏懼						to be afraid
威	影合三微平	wēi	wai¹	위	uy	majesty; dignity; awe. to threaten
威怒						with awe inspiring anger
捉	莊二江入	zhuō	zuk¹	착	tróc	to seize; to arrest
句牒						a warrant
奈	泥開一泰去?, 泥開一歌去?	nài	noi⁶	나?, 내?	nại	a remedy; a resource. but; unfortunately
無奈						there is no resource; there being no alternative
隷	來開四齊去	lì	dai⁶	례?, 예?		an official servant
李	來開三之上	lǐ	lei⁵	리?, 이?	lí	the plum. a proper name
醺	曉合三文平	xūn	fan¹			drunk
醺醉						drunk
醒	心開四青平?, 心開四青上?, 心開四青去?	xǐng	sing²	성	tỉnh	to become sober; to wake up
偽		wěi	ngai⁶		nguỵ	false; pretended
偽局						a trick; to play a trick
姑	見一模平	gū	gu¹	고	cô	to tolerate; to be lenient; paternal aunt. meanwhile; for the time being
擾	日開三宵上	rǎo	jiu²	요	nhiễu	to give trouble; to annoy
繳	見開四蕭上?, 章開三陽入?, 匣開二耕入?	jiǎo	giu²		nhàu	to deliver; to hand over
報繳						to hand back (as a warrant)
窘	羣合三B眞上	jiǒng	kwan³	군	quẫn	distressed
拘	見三虞平	jū	keoi¹	구	câu	to grasp; to seize. to collect; to bring together
款	溪合一寒上	kuǎn	fun²	관	khoản	
冀	見開三B脂去	jì	kei³	기		to hope
塞責						to perform one's duty perfunctorily (or just so far as one is obliged to)
