Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
姝	昌三虞平	shū	zyu¹	주		a pretty woman; handsome
蒼	清開一唐平?, 清開一唐上?	cāng	cong¹	창		azure; the heavens
慈	從開三之平	cí	ci⁴	자	từ	kind; gentle
顏	疑開二刪平	yán	ngaan⁴			color; the face
顏回						a proper name
嬖	幫四齊去	bì	pei³	폐	bế	a favorite
嬖人						a favorite
農	泥一冬平	nóng	nung⁴	농	nông	
劫,刼	見開三嚴入	jié	gip³	겁		
臧倉						a proper name
兼	見開四添平?, 見開四添去?	jiān	gim¹	겸	kiêm	both; together
地方官						local authorities
嗣後						afterwards
案情						the circumstances of a case
懥	章開三脂去?, 知開三脂去?	zhì	zi³			angry; to hate
忿懥						angry
禀		bǐng	ban²	품	bẩm	to report to a superior
