Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
彎	影合二刪平	wān	waan¹	만		to curve; to bend
彎矢						to discharge an arrow
撥	幫一寒入	bō	but⁶	발		to get rid of; to send away
伏身						to conceal oneself; to throw oneself down
墮	曉合三A支平?, 定合一歌上?, 透合一歌上?	duò	do⁶	타	đoạ	to fall down; to slide
躍	以開三陽入	yuè	joek⁶	약	dược	to skip; to leap
躍避						to avoid by leaping
貫	見合一寒平?, 見合一寒去?	guàn	gun³	관	quan	to pierce; to string
戰戰						to tremble (of an arrow that stuck into the wall)
佩刀						a sword
刀	端開一豪平	dāo	dou¹	도	đao	
劈	滂四青入	pī	pik¹	벽		to split open
猱	泥開一豪平?, 孃三尤去?	náo	naau⁴	노		a long yellow-haired monkey
猱進						to duck; to dodge
削	心開三陽入	xuē	soek³	삭	tước	to cut; to pare
踝	匣合二麻上	huái	waa⁵	과		the ankle
鏗	溪開二耕平	kēng	hang¹	갱	trét?, keng?	to strike; the sound of a ringing blow
吼	曉開一侯上?, 曉開一侯去?	hǒu	hau³	후	hống	the roar of animals
雷	來合一灰平	léi	leoi⁴	뇌?, 뢰?	lôi	thunder
剁	端合一歌去	duò	doek³			to chop; to mince
落	來開一唐入	luò	lok⁶	낙?, 락?	lạc	to fall down; to settle down
裙		qún	kwan⁴	군	quần	a skirt; a coat
脅	曉開三嚴去?, 曉開三嚴入?	xié	hip³	협	hiếp	the ribs; the sides
猛	明二庚上	měng	maang⁵	맹	mãnh	fierce; violent; cruel
斫	章開三陽入	zhuó	zoek³	작		to cut; to chop off
仆	滂三虞去?, 滂三尤去?, 滂一侯去?, 並一登入?	pū	fu⁶	부	bọc	to fall prostrate
僵	見開三陽平	jiāng	goeng¹	강		stiff; rigid
硬	疑開二耕去	yìng	ngaang⁶	경	khư?, ngạnh?	hard; strong
僵硬						
栎		lì	lik¹			a watchman's rattle
際	精開三祭去	jì	zai³	제		a border; a juncture
刻	溪開一登入	kè	hak¹	각	khắc	to carve; to cut
刻畫						to draw; to paint
猙	莊開二耕平?, 從開三清上?	zhēng	zang¹	쟁		a fabulous creature with five tails and a horn
猙獰						hideous; horrid
秉	幫三庚上	bǐng	bing²	병	bảnh	to grasp; to hold
秉燭待旦						to hold a candle in one's hand until dawn
致	知開三脂去	zhì	zi³	치	nhí	to cause; to bring about
神	船開三眞平	shén	san⁴	신	thần	to express; to manifest
偏	滂三A仙平?, 滂三A仙去?	piān	pin¹	편	thiên	everywhere; all-round
詣	疑開四齊去	yì	ngai⁶	예		to go to; to reach
遙	以開三宵平	yáo	jiu⁴	요	diêu	distant; remote
瞥	滂四先入?, 滂三A仙入?	piē	pit³	별		to glance at
翳	影開四齊平?, 影開四齊去?	yì	ai³	예		to screen; to shade
翳形						to vanish
翳形術						the power of rendering oneself invisible
犬	溪合四先上	quǎn	hyun²	견		the dog
戒	見開二皆去	jiè	gaai³	계	giới	to take precautions; to warn; to avoid
戒備						to prepare; to procure
模	明一模平	mó	mou⁴	모	mô	a pattern; a model
糊	匣一模平	hú	wu⁴	호	hồ	paste; muddled; blurred
模糊						blurred; indistinct
燒	書開三宵平?, 書開三宵去?	shāo	siu¹	소	thiêu	to burn; luminous
灼	章開三陽入	zhuó	coek³	작	chước	to hold; to seize
有司						civil authorities
