Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
極端						extremity
社會黨						the socialistic party
國權黨						the governmental party
一致						unity; as one man
舊教黨						the old clerical party
人民黨						the national party; nationalists
民主黨						the democratic party
共產黨						the communistic party
資本黨						the capitalistic party
組						a girdle; tassels; to organize
織	章開三之去?, 章開三蒸入?	zhī	zik¹	직	chức	to weave
組織						to organize
協調						harmony; unity
頻	並三A眞平	pín	pan⁴	빈		urgent; imminent. a shore. to precipitate
危機						crisis; critical point
極點						extreme limit; culminating point
倣	幫三陽上	fǎng	fong²	방	phỏng	to be alike; to resemble
模倣						imitation; to follow the example
考慮						to discuss; to weigh
獨特						special; peculiar
文明						culture
