Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
楚	初開三魚上?, 初開三魚去?	chǔ	co²	초	sở	sharp; painful. clear; distinct. Name of a feudal state (740-300 B.C.)
莊	莊開三陽平	zhuāng	zong¹	장	trang	serious; grave; correct.
莊善						a proper name.
辭	邪開三之平	cí	ci⁴	사		words; expression. to resign; to take leave.
棄	溪開三A脂去	qì	hei³	기		to throw aside; to abandon.
臣	常開三眞平	chén	san⁴	신	thần	
外	疑合一泰去	wài	ngoi⁶	외	ngoại	outside. provincial; foreign. extra; above.
駕	見開二麻去	jià	gaa³	가	giá	to yoke. a chariot. to ride in. used as a polite or respectful term of address.
僕	並一東入?, 並一冬入?	pú	buk⁶	복	bộc	a servant; a subject.
戀	來合三仙去	liàn	lyun²	련?, 연?	luyến	to long for; to dote on.
念	泥開四添去	niàn	nim⁶	념?, 염?	niệm	to think; to remember. to read aloud. twenty.
然則						that being the case; then.
私	心開三脂平	sī	si¹	사	tư	private; personal; selfish. secret; clandestine.
闘		dòu	dau³			fight
車	見開三魚平?, 昌開三麻平?	chē	ce¹	거?, 차?	xa	a carriage; a cart.
