Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
自強						to exert oneself; to make an effort; to get strong
社會						society; community
罪惡						evil
製造						to manufacture; to create
原動力						motive power
級	見開三B侵入	jí	kap¹	급	cấp	steps; a story; a grade; a rank
階級						a class; a grade
人物						individuals; personages
經驗						experience
陷	匣開二咸去	xiàn	haam⁶	함	hãm	to involve
水深火熱						deep water and hot fire, a dangerous situation
作用						action
物質文明						materialistic culture
薄弱						weak; feeble
爪	莊開二肴上	zhǎo	zaau²	조	trảo	claws (of animals)
牙	疑開二麻平	yá	ngaa⁴	아	nha	the teeth
爪牙						talons and teeth; soldiers
叢	從一東平	cóng	cung⁴	총		a bushy place; dense; thick
掠	來開三陽去?, 來開三陽入?	lüè	loek⁶	략?, 약?	lướt	to rob; to plunder
掠奪						to rob; to plunder
惨		cǎn	caam²			grieved; sad; cruel
侵擾						to invade and disturb
危亡						in great danger
境	見開三庚上	jìng	ging²	경	cảnh	a region; condition; circumstances
境地						territory; condition; situation
借口						under the pretext of; to avail oneself of a reason for excuse
披	滂三B支平?, 滂三B支上?	pī	pei¹	피	phơ	to open; to unroll
露		lòu				to expose; to disclose
披露						to publish; to make known
由						to follow
專制						absolute; autocratic
竞		jìng	ging⁶			only
燉	透合一魂平?, 定合一魂平?	dùn	dan⁶	돈	đun	to bite; to eat
飯	並三元上?, 並三元去?	fàn	faan⁶	반		cooked rice; food
燉飯						food
監視						to control; to examine
奸	見開一寒平	jiān	gaan¹	간	gian	wicked; false; traitorous
奸賊						a knave; a scoundrel
蠢	昌合三眞上	chǔn	ceon²	준	xuẩn	worms in books or clothes. to waste; to embezzle
國蠢						rapacious officials
把持						to manage; to control
覺悟						to be aroused; to become aware of; to be awakened
國賊						a traitor
逍	心開三宵平	xiāo	siu¹	소		to roam; to saunter
遙						distant; remote
逍遙						to escape
擔	端開一談平?, 端開一談去?	dān	daam¹	담		a load
擔負						to bear; a burden
脈	明二耕入	mài	mak⁶	맥		the veins or arteries; the pulse
國脈						the existence of the country
無影無形						immaterial; incorporeal
