Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
仲	zhòng	zung⁶	중		younger; second
齊	qí	cai⁴	제	tày	even; level; equal; name of an ancient feudal state (1122-224 B.C.)
居	jū	geoi¹	거	cư	to dwell; to occupy
士	shì	si⁶	사	sĩ	an officer; a soldier; a scholar; a gentleman
王	wáng	wong⁴	왕	vương	a king; a prince; a ruler
養	yǎng	joeng⁵	양	dưỡng	to nourish; to rear; to support
厚	hòu	hau⁵	후		thick; substantial; generous; to care
責	zé	zaak³	채?, 책?	trách	to reprove; duty; to be responsible; to lay a charge on
事	shì	si⁶	사	sự	an affair; a matter; to serve
安	ān	on¹	안	an	still; quiet; peace; at ease; to place; to lay down; an interrogative particle
屈	qū	wat¹	굴	khuất	to bend; crouch
榖	gǔ	guk¹		kéo?, cốc?	grain; cereals
匏	páo	paau⁴	포	bầu	the bottlegourd
堅	jiān	gin¹	견	kiên	hard; solid; firm; obstinate
竅	qiào	kiu³	규	khíu	an opening; a cavity; intelligence
願	yuàn	jyun⁶	원	nguyện	to wish; to desire
獻	xiàn	hin³	헌	hiến	to present; to offer up
盛	shèng	sing⁶	성	thịnh	to hold; to contain
則	zé	zak¹	칙	tắc	then; and so; in that case; a pattern; a rule; a consequential particle
剖	pōu?, pǒ?	fau²	부	bo	to split; to cut in two
物	wù	mat⁶	물	vật	matter; substance; thing
用	yòng	jung⁶	용	dụng	to use; to employ; useful; with; by
穀	gǔ	guk¹	곡		here: to rely upon; to depend
亦	yì	jik⁶	역		also; and; even; indeed
國	guó	gwok³	국	quốc	a nation; a state; a country
殆	dài	toi⁵	태		to endanger; only; merely; nearly
類	lèi	leoi⁶	류?, 유?	loại	a class; a kind; a sort
