Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
杞	溪開三之上	qǐ	gei²	기		a kind of willow
柳	來三尤上	liǔ	lau⁵	류?, 유?	liễu	the willow tree
杯	幫一灰平	bēi	bui¹	배	bôi	a cup to drink from
棬	溪合三B仙平	quān	hyun¹	권		a wooden bowl
斤	見開三欣平?, 見開三欣去?	jīn	gan¹	근	cân	an adze; a hatchet. the Chinese "catty" or pound
位	云合三脂去	wèi	wai⁶	위	vị	position; place; a seat
攙	崇開二咸平?, 初開二銜平?	chān	caam¹	참	sọm	to mix; to blend. to support
漢	曉開一寒去	hàn	hon³	한	hán	a large branch of the Yang-tzu; name of a famous dynasty; hence of, or belonging to, China
諂,謟	徹開三鹽上	chǎn	cim²	첨	siểm	to flatter
汝,女	日開三魚上	rǔ	jyu⁵	여	nhớ	you
爵	精開三陽入	jué	zoek³	작	tước	dignity; rank. a wine-cup
冉	日開三鹽平?, 日開三鹽上?	rǎn	jim⁵	염	nhiễm	tender; weak
冉子						the name of a disciple of Confucius
緣木						to climb a tree
臧	精開一唐平	zāng	zong¹	장	tang	good; right
臧孫						a proper name
盧	來一模平	lú	lou⁴	노?, 로?	lư	a vessel for containing rice
屋盧子						a proper name
鄒	莊三尤平	zōu	zau¹	추		the name of a small state in which Mencius was born
孟	明二庚去	mèng	maang⁶	맹	mạnh	chief; head; first
孟子						Mencius (B.C. 372-289)
事端						occasion of trouble
修身						to cultivate oneself
譽	以開三魚平?, 以開三魚去?	yù	jyu⁶	예	dự	praise; credit; fame
行師						to wage war
御	疑開三魚去	yù	jyu⁶	어	ngự	to drive a chariot; to manage; to control. imperial
臨御						to take the reins of government; to occupy the throne
登位						to ascend the throne
