Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
中國						China
列強						the powerful nations
強	羣開三陽平	qiáng	koeng⁴	강	càng	
對於						in connection with; with respect to
修改						to amend; to revise
心理						mind; idea; attitude
簽訂						duly signed; to sign
華	匣合二麻平?, 曉合二麻平?, 匣合二麻去?	huá	waa⁴	화	hoa	flowers; China
華盛頓						Washington
華盛頓條約						Washington Conference Treaty
比法意						Belgium, France, Italy
葡	pú	pou⁴	포	포		Portugal
一致						unitedly; with one consent
平等						equal rank; equality
層	從開一登平	céng	cang⁴	층	tầng	a layer; a stratum. a question
表示						to show; to manifest
態	透開一咍去	tài	taai³	태	thái	behaviour; manner
態度						attitude
採用						to use
步驟						a step; a measure
差異						the difference
兩方						both sides
根本						root; foundation
恢	溪合一灰平	huī	fui¹	회		great; liberal
恢復						to recapture; to get back
主權						sovereignty
隨同						to follow; to accompany; to appropriate
取消						to abolish
主奴式之條約						master and slave treaties; humiliating treaties
入手						to begin; to start
約而言之						briefly; summarily; in a few words; in a word
歷來						hitherto; heretofore
桎	章開三眞入	zhì	zat⁶	질	chuối	handcuffs; to fetter
梏	見一冬入?, 見二江入?	gù	guk¹	곡	gáo	fetters
桎梏						fetters
去	溪開三魚上	qù	heoi³	거	khứ	to remove; to lay off
世界						the world
地位						a position; a standing
