Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
内	nèi	noi⁶		nội	within; inside; inner; native
兄	xiōng	hing¹	형	huynh	an elder brother
弟	dì	dai⁶	제	đệ	a younger brother
寸	cùn	cyun³	촌	thốn	"an inch; a little; small "
土	tǔ	tou²	토	thổ	earth; territory; land dust
地	de?, dì?	dei⁶	지	địa	
少	shǎo	siu²	소	thiểu	
自	zì	zi⁶	자	tự	
古	gǔ	gu²	고	cổ	ancient; old
死	sǐ	sei²	사	phơi?, tử?	
各	gè	gok³	각	các	each; all; various
商	shāng	soeng¹	상	thương	
均	jūn	gwan¹	균?, 연?	quân	
禾	hé	wo⁴	화		growing grain
遭	zāo	zou¹	조	tao	
淹	yān	jim¹	엄	êm	to soak; to overflow
沒	méi	mut⁶	몰	mớ?, một?	sunk; gone; dead
生	shēng	sang¹	생	sinh	
意	yì	ji³	의	ý	an idea; an opinion; meaning; wish
來	lái	loi⁴	내?, 래?	lai	to come. In the future
買	mǎi	maai⁵	매	mãi	to buy
賣	mài	maai⁶	매	mại	to sell
泰	tài	taai³	태	thái	prosperous; eminent; liberal
西	xī	sai¹	서	tây	the west; foreign
俱	jù	keoi¹	구	câu	all; every; altogether
例	lì	lai⁶	례?, 예?	lề	a law; a rule; a custom
民	mín	man⁴	민	dân	people; subjects; citizens
教	jiào	gaau³	교	giáo	
苗	miáo	miu⁴	묘	meo	sprouts; shoots
晝	zhòu	zau³	주		daylight; daytime
等	děng	dang²	등	đẳng	
長	zhǎng	coeng⁴	장	trường	
並	bìng	bing⁶	병		
重	zhòng	cung⁵	중	trọng	
案	àn	on³	안	duyên?, án?	a table. A case at law
同	tóng	tung⁴	동	đồng	together; with; alike
起	qǐ	hei²	기	khởi	
切	qiè	cit³	절?, 체?	thiết	
兵	bīng	bing¹	병	binh	a soldier, a weapon; military
器	qì	hei³	기	khí	
概	gài	koi³			to level: to adjust; all
違	wéi	wai⁴	위	vi	to oppose; to disobey
禁	jìn	gam³	금	cấm	to forbid; to prohibit
准	zhǔn	zeon²	준	chốn	
販	fàn	faan³	판		
運	yùn	wan⁶	운	vận	to turn round. to transport
萬	wàn	maan⁶	만	vạn	ten thousand; many; all
邦	bāng	bong¹	방	vâng	a state; a country
咸	xián	haam⁴	함		all; entirely
寕	níng	ning⁴			
幼	yòu	jau³	유	ấu	young; tender
悉	xī	sik¹	실	tạt	all; fully; minutely
聽	tīng	ting¹	청	thính	to hear; to listen
肸	xī	jat⁶			I; we (the emperor)
