Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
纏	chán	cin⁴	전	triền	
肢	zhī	zi¹	지	chi	
廢	fèi	fai³	폐	phế	
病	bìng	beng⁶	병	bệnh	
憫	mǐn	man⁵	민	mẫn	
戕	qiāng	coeng⁴	장		
衆	zhòng	zung³	중		
斥	chì	cik¹	척	xịch	
法	fǎ	faat³	법	pháp	
刑	xíng	jing⁴	형	hình	
愛	ài	oi³	애		
万	wàn?, mò?	maan⁶	만	vạn	
虐	nüè	joek⁶	학	ngược	
施	shī	si¹	시	thi	
女	nǚ	neoi⁵	녀?, 여?	nữa	
便	biàn	bin⁶	변?, 편?	tiện	
狃	niǔ	nau²		nữu	
俗	sú	zuk⁶	속	tục	
衛	wèi	wai⁶	위	vệ	
艱	jiān	gaan¹	간	gian	
勤	qín	kan⁴	근	cần	
憚	dàn	daan⁶	탄	dạn	
操	cāo	cou¹	조		
忍	rěn	jan²	인	nhẫn	
取	qǔ	ceoi²	취	thủ	
妻	qī	cai¹	처	thê	
弱	ruò	joek⁶	약	nhược	
曾	céng	zang¹	증	tằng	
恤	xù	seot¹	휼		
愚	yú	jyu⁴	우	ngu	
難	nán	naan⁴	난	nan	
