Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
海	hǎi	hoi²	해	hải	the sea
魚	yú	jyu⁴	어	ngư	the fish
靖	jìng	zing⁶	정		quiet
郭	guō	gwok³	곽	quách	an outer wall; an edge; a rim
封	fēng	fung¹	봉	phong	a fief or principality held under the feudal system; to appoint to territory or oftice
薛	xuē	sit³	설		a kind of marsh grass; name of an ancient small feudal state
將	jiāng	zoeng¹	장	tướng	to take; to lead; a leader; a general; a particle of approaching action; a sign of the object
城	chéng	sing⁴	성	thành	a wall of a city; to build a city wall
客	kè	haak³	객	khách	a guest; a visitor; a stranger; here; a friend; an adviser (to ancient rulers)
諫	jiàn	gaan³	간	gián	to admonish; to warn
網	wǎng	mong⁵	망	võng	a net; a web
鈎	gōu	ngau¹			a hook; to connect; to influence
牽	qiān	hin¹	견		to pull; to haul
幸	xìng	hang⁶	행		lucky; fortunate
螻	lóu	lau⁴	루	sâu	the mole cricket
蟻	yǐ	ngai⁵	의		ants
制	zhì	zai³	제	chế	to restrain: to govern; laws; regulations
焉	yān	jin¹	언	vờn	a final particle
猶	yóu	jau⁴	유		still; yet; even; as; as though; like; similar
强	qiáng	koeng⁴	강		strong; violent
又	yòu	jau⁶	우	lại	further; also; again; then
憂	yōu	jau¹	우	ưu	said; grieved; anxious
旦	dàn	daan³	단	đán	morning; dawn; day
亡	wáng	mong⁴	망	vong	to go away: to perish; to die
雖	suī	seoi¹	수	tuy	although; even if
築	zhú	zuk¹	축	trốc	to beat down; to build
使	shǐ	si²	사	sứ	to use; to send; to cause; If
