Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
梃	定開四青上	tǐng	ting⁵	정		a staff; a cudgel
忠	知三東平	zhōng	zung¹	충	trung	loyal; faithful
遜,孫	心合一魂去	xùn	seon³	손		to be obedient; humble
子稅						transit dues
干	見開一寒平	gàn	gon¹	간	can	a shield. to concern; to involve
執照						a certificate; a passport
帶回						to take back
謠	以開三宵平	yáo	jiu⁴	요	dao	a false report; a rumour
謠言						false reports
傳布						to spread out
立即						immediately
釋	書開三清入	shì	sik¹	석	thích	to loosen; to set free; to explain
釋放						to release; to let go
浪	來開一唐平?, 來開一唐去?	làng	long⁶	낭?, 랑?		waves; billows. extravagant
衝	昌三鍾平	chōng	cung¹	충		to rush against; to collide
衝移						to carry away
遮	章開三麻平	zhē	ze¹	차		to cover; to screen
遮蔽						to conceal; to shade
子口						an inland Customs' barrier
單	端開一寒平?, 常開三仙平?, 常開三仙上?, 常開三仙去?	dān	daan¹	단	đơn	alone; single; a document; an application
