Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
親密						friendly; intimate
蒸蒸日上						daily rising higher and higher
情感						friendly feelings
配	滂一灰去	pèi	pui³	배	phối	to mate; to match
支配						to allot; to assort
結合						to join together; to combine; an association
假面具						a mask; a pretense
助	崇開三魚去	zhù	zo⁶	조	trợ	
普	滂一模上	pǔ	pou²	보	phổ	great; universal; everywhere
普通						general; universal
原則						a principle
實行						to realize; to put in practice
反對						to oppose
贊成						to approve
無異						not otherwise than
變更						to change
牽制						to embarrass
進步						the progress
主張						to advocate; to vote for
人道						moral law; justice
正義						the right; correct principles
協定						an agreement
壞	見合二皆去?, 匣合二皆去?	huài	waai⁶	괴	hoại	to ruin; to spoil
破壞						to break; to spoil
仁義						benevolence
公理						universal principle; justice
感情						friendly feelings
響	曉開三陽上	xiǎng	hoeng²	향	hướng	noise; an echo
影響						shadow and echo; to affect; to influence
審慎						to take into account; to weigh carefully
考慮						to discuss; to weigh
