Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
雹	báo	bok⁶	박		
秋	qiū	cau¹	추	thu	
烈	liè	lit⁶	렬?, 열?	liệt	
熱	rè	jit⁶	열	nhiệt	
未	wèi	mei⁶	미	mùi	
退	tuì	teoi³	퇴	thoái	
陰	yīn	jam¹	음	âm	
霾	mái	maai⁴			
布	bù	bou³	포	bố	
風	fēng	fung¹	풍	phong	
驟	zhòu	zaau⁶	취	sậu	
空	kōng	hung¹	공	không	
冰	bīng	bing¹	빙	băng	
塊	kuài	faai³	괴	khối	
擊	jī	gik¹	격		
墮	duò	do⁶	타	đoạ	
聲	shēng	sing¹	성	thanh	
屋	wū	uk¹	옥	ốc	
瓦	wǎ	ngaa⁵	와	ngói	
檐	yán	jim⁴	첨		
鐵	tiě	tit³	철	thiết	
砰	pēng	ping¹	팽		
磅	bàng	bong⁶	방		
聒	guā	kut³	괄		
耳	ěr	ji⁵	이	nhĩ	
雪	xuě	syut³	설		
非	fēi	fei¹	비	phi	
名	míng	ming⁴	명	danh	
汽	qì	hei³	기		
成	chéng	sing⁴	성	thành	
兩	liǎng	loeng⁵	량?, 양?	lưỡng	
點	diǎn	dim²	점	điểm	
處	chù	cyu³	처	xử	
冷	lěng	laang⁵	냉?, 랭?	lạnh	
吹	chuī	ceoi¹	취	xuy	
結	jié	git³	결	kết	
錯	cuò	co³	착	thó	
難	nán	naan⁴	난	nan	
降	jiàng	gong³	강?, 항?	giáng	
小	xiǎo	siu²	소	tiểu	
豆	dòu	dau⁶	두	đậu	
雞	jī	gai¹	계		
卵	luǎn	leon²	난?, 란?		
毀	huǐ	wai²	훼	huỷ	
盧	lú	lou⁴	노?, 로?	lư	
舍	shě?, shè?	se³	사	xá	
災	zāi	zoi¹	재	tai	
