Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
歇	曉開三元入	xiē	hit³	헐	hết	to rest; to stop
獲罪						to commit a crime
禱	端開一豪上?, 端開一豪去?	dǎo	tou²	도	đảo	to pray
自省						introspection
亡	明三陽平?	wú	mong⁴?	망?	vong?	not; without
禧	曉開三之平	xǐ	hei¹	희		
榮	云合三庚平	róng	wing⁴	영	vinh	honor; glory; flourishing
如之何						how?
黨	端開一唐上	dǎng	dong²	당		an association; a party; a faction
沒世						to die
察	初開二山入	chá	caat³	찰	sát	to examine into
戲	曉開三B支平?, 曉一模平?, 曉開三B支去?	xì	hei³	희	hí	to play (especially theatrical performances). to jest; to sport
世俗						contemporary and common
為市者						the market dealer
有司						the civil authorities
舜	書合三眞去	shùn	seon³	순	thuấn	name of a legendary monarch of China (2255 to 2205 B.C.)
宗廟						the ancestral temple of an Imperial family
廟	明三B宵去	miào	miu⁶	묘	miếu	a temple
廷	定開四青平?, 定開四青去?	tíng	ting⁴	정	đình	the audience-chamber; the Court
朝廷						the Court
便便言						to speak minutely on every point
唯	以合三脂平?, 以合三脂上?	wéi	wai⁴	유	dõi	only
象	邪開三陽上	xiàng	zoeng⁶	상	tượng	the elephant. name of a brother of the Emperor Shun
牀	崇開三陽平	chuáng	cong⁴	상	giường	a bed; a couch
琴	羣開三B侵平	qín	kam⁴	금	cầm	the Chinese lute; to play the lute
鬱	影合三文入	yù	wat¹	울		thickly wooded. anxious; irritated
陶	以開三宵平?, 定開一豪平?	táo	tou⁴	도		a kiln for making pottery. mournful thought
鬱陶						anxiously
率	生合三脂去?, 生合三眞入?	shuài	seot¹	률?, 솔?, 율?		to lead. to follow; to obey
禍	匣合一歌上	huò	wo⁶	화	hoạ	calamity
祭	精開三祭去?, 莊開二皆去?	jì	zai³	제	tế	to sacrifice to the gods
我疾作						I have become ill
發憤						to be roused to effort
抑	影開三B蒸入	yì	jik¹	억	ức	to restrain. either; or. however
倦	羣合三B仙去	juàn	gyun⁶	권	quyện	tired; weary
鳳	並三東去	fèng	fung⁶	봉	phượng	the male phoenix
圖	定一模平	tú	tou⁴	도	đồ	a map; a diagram. to plan; to scheme
