Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
舍	書開三麻上	shě	se³?	사	xá?	to put away; to set aside
魋	定合一灰平	tuí	teoi⁴	퇴		a fabulous animal, like a small bear
桓魋						a proper name
二三子						two or three sons; my friends; my disciples
季	見合三A脂去	jì	gwai³	계	quí	tender; young. a season
季康子						a proper name
仲由						a proper name
韞	影合一魂平?, 影合三文上?	yùn	wan³	온		red. to enclose
匱	羣合三B脂去	guì	gwai⁶	궤	quĩ	a case; a box
藏	從開一唐平?, 從開一唐去?	cáng	cong⁴	장		to hide; to conceal
沽	見一模平?, 見一模上?, 見一模去?	gū	gu¹	고		to buy; to sell
有若						a proper name
饑	見開三微平	jī	gei¹	기	cơ	
徹	澄開三仙入?, 徹開三仙入?	chè	cit³	철	triệt	to penetrate; intelligible. to remove. to tithe
功名						fame
泰山						the name of a mountain in Shantung (the most famous of the five Chinese Sacred Mountains)
頹	定合一灰平	tuí	teoi⁴	퇴		to collapse; to fall
信然						true. really
曷	匣開一寒入	hé	hot³	갈	hạt	interrogative particle. how? why? what?
曷勝						how am I adequate?
欣躍						to be delighted
詫異						to be amazed
盍	匣開一談入	hé	hap⁶	합		
慮	來開三魚去	lǜ	leoi⁶	려	lự	
羊	以開三陽平	yáng	joeng⁴	양	dương	
欣	曉開三欣平	xīn	jan¹	흔	hân	
