Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
宋	心一冬去	sòng	sung³	송	tống	name of a feudal State; name of dynasty
野	常開三魚上?, 以開三麻上?	yě	je⁵	야	dã	wilderness; prairie; rustic; wild; savage
野人						a savage; peasant
玉	疑三鍾入	yù	juk⁶	옥	ngọc	gem; jade. precious. your.
司城						name of an ancient office, "the protector of the town"
罕		hǎn	hon²	한		a net; a snare. few; rare
子罕						a proper name
示	羣開三A支平?, 船開三脂去?	shì	si⁶	시	đình?, thị?	to declare; to exhibit; to show
玉人						a jeweller
貪	透開一覃平	tān	taam¹	탐	tham	to covet; to desire
不若						better
金	見開三B侵平	jīn	gam¹	금?, 김?	kim	metal; gold; money; silver
白金						a hundred ounces of silver
摶	定合一寒平?, 澄合三仙上?	tuán	tyun⁴			round; to roll
黍	書開三魚上	shǔ	syu²	서		millet
摶黍						a millet cake
龢	匣合一歌平	hé	wo⁴	화		harmony; peace
氏	章開三支平?, 精開三清平?, 常開三支上?	shì	si⁶	씨	thị	a family; a clan
龢氏						name of famous jeweller of the Ch'u State
璧	幫三清入	bì	bik¹	벽	bích	a piece of jade; a jewel
璧	幫三清入	bì	bik¹	벽	bích	a piece of jade; a jewel
鄙	幫三B脂上	bǐ	pei²	비	bẽ	rustic; low
道德						virtue
彌	明三A支平	mí	nei⁴	미		to fill; to stop. very; intensely
精	精開三清平?, 精開三清去?	jīng	zing¹	정	tinh	essence; spirit; skillful; fine; delicate
彌精						refined; cultivated
粗	從一模上	cū	cou¹	조	thô	coarse; rough; vulgar
彌粗						coarse; primitive
