Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
聊	liáo	liu⁴	료		
齋	zhāi	zaai¹	재		
誌	zhì	zi³	지	chí	
梨	lí	lei⁴	리?, 이?	lê	
市	shì	si⁵	시	thị	
芳	fāng	fong¹	방		
巾	jīn	gan¹	건	cân	
架	jià	gaa³	가	giá	
丐	gài	koi³		cái	
咄	duō	deot¹	돌	xót	
罵	mà	maa⁶	매	mạ	
顆	kē	fo²	과		
衲	nà	naap⁶	납	nẹp	
損	sǔn	syun²	손	tốn	
勸	quàn	hyun³	권	khuyến	
置	zhì	zi³	치	trí	
劣	liè	lyut³	렬?, 열?		
枚	méi	mui⁴	매	mai	
執	zhí	zap¹	집	chấp	
肆	sì	si³	사		
傭	yōng	jung⁴	용		
喋	dié	dip⁶	첩	nhịp	
堪	kān	ham¹	감	kham	
付	fù	fu⁶	부	phó	
拜	bài	baai³	배	bái	
謝	xiè	ze⁶	사	tạ	
惜	xī	sik¹	석	tiếc	
佳	jiā	gaai¹	가	giai	
供	gōng	gung¹	공	cung	
需	xū	seoi¹	수?, 유?		
掬	jū	guk¹	국	cúc	
陌	mò	mak⁶	맥		
把	bǎ	baa²	파	bã	
坎	kǎn	ham²	감	khảm	
納	nà	naap⁶	납	nạp	
湯	tāng	tong¹	탕	thang	
沃	wò	juk¹	옥	óc	
灌	guàn	gun³	관		
店	diàn	dim³	점	điếm	
瀋	shěn	sam²	심	thẳm	
