Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
毋	wú	mou⁴	무	vô	
印	yìn	jan³	인	ấn	
格	gé	gaak³	격	cách	
草	cǎo	cou²	초	thảo	
男	nán	naam⁴	남	nam	
改	gǎi	goi²	개		
恃	shì	ci⁵	시		
欺	qī	hei¹	기	khi	
友	yǒu	jau⁵	우	hữu	
漏	lòu	lau⁶	누?, 루?	lậu	
胎	tāi	toi¹	태	thai	
請	qǐng	cing²	청	thỉnh	
恩	ēn	jan¹	은	ân	
望	wàng	mong⁶	망	vọng	
報	bào	bou³	보	báo	
閑	xián	haan⁴	한	nhàn	
談	tán	taam⁴	담	đàm	
論	lùn	leon⁶	논?, 론?	luận	
誰	shuí?, shéi?	seoi⁴	수		
永	yǒng	wing⁵	영	vắng	
師	shī	si¹	사	sư	
傲	ào	ngou⁶	오	ngạo	
慢	màn	maan⁶	만	mạn	
題	tí	tai⁴	제		
想	xiǎng	soeng²	상	tưởng	
