Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
法律						laws; statutes
適用						to apply
條例						rules; regulations
第一						the first
鋼	見開一唐平?, 見開一唐去?	gāng	gong³	강	gang	a law; a bond; a tie
總綱						general provisions
依	影開三微平	yī	ji¹	의	y	according to; in accordance with
規	見合三A支平	guī	kwai¹	규	qui	law; rule; custom; usage
規定						to define; to fix; stipulations
公共						common; public
秩	澄開三眞入	zhì	dit⁶	질	trật	decorum; orderliness
序	邪開三魚上	xù	zeoi⁶	서	tựa	series; precedence; a preface
秩序						order
風俗						common customs; usages
當事人						the party
籍	從開三清入	jí	zik⁶	적		a register; a record
國籍						nationality
取得						to acquire
國籍法						the laws of nationality
住	澄三虞去?, 知三虞去?	zhù	zyu⁶	주	trú	to stop; to abode; to dwell
住所						a dwelling place; domicile (domicilium)
居所						place of residence (habitatio)
地方						a place; a locality
地方法律						the law of locality
