Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
多	duō	do¹	다	đa	many; much; mostly; often
無	wú	mou⁴	무	vô	not; nothing; without
益	yì	jik¹	익	ích	to increase; to benefit; advantage; still more
或	huò	waak⁶	혹	hoặc	some; someone; or; prehaps
問	wèn	man⁶	문	vấn	to ask; to inquire; to hold responsible
墨	mò	mak⁶	묵	mặc	ink; black; obscure
子	zi	zi²	자	tử	a child; a son; a gentleman; you; sir; a philosopher
以	yǐ	ji⁵	이	dĩ	to take; to cause; to use; a particle of many uses
爲	wéi	wai⁴	위	vi	to do; to make; to cause
爲	wèi	wai⁶	위	vị	because of; for; by; on behalf of
蝦	xiā	haa¹	하	hà	a shrimp; a prawn
蝦	há	haa⁴	하		a frog
蟆	má	maa⁴		ma	a common toad; a frog
蝦蟆	há má	haa⁴ maa⁴			a common toad; a frog
夜	yè	je⁶	야	dạ	night; darkness
厭	yàn	jim³	염	ướm	to dislike; to hate; to loathe
雄	xióng	hung⁴	웅	hùng	the male of birds; brave; martial
鷄	jī	gai¹	계	kê	the fowl; the chicken; the cock
雄鷄	xióng jī	계	kê		a cock
振	zhèn	zan³	진	chấn	to move; to shake; to excite
動	dòng	dung⁶	동	động	to move; to rouse
振動	zhèn dòng	zan³ dung⁶	진 동	chấn động	to excite to action; to come into motion
當	dāng	dong¹	당	đương	ought; suitable; proper; to act as; to happen
時	shí	si⁴	시	thời	time; season; opporunity
當時	dāng shí	dong¹ si⁴	당 시	đương thời	proper time; due time
已	yǐ	ji⁵	이	dĩ	to cease; to come to an end; finished; already
