Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
陸	lù	luk⁶	륙?, 육?	lục	
駐	zhù	zyu³	주	trú	
元	yuán	jyun⁴	원	nguyên	
緒	xù	seoi⁵			
續	xù	zuk⁶	속	tục	
稅	shuì	seoi³	세		
届	jiè	gaai³			
英	yīng	jing¹	영	anh	
訂	dìng	ding³	정	đính	
項	xiàng	hong⁶	항	hạng	
期	qī	kei⁴	기	kì	
滿	mǎn	mun⁵	만	mãn	
個	gè	go³	개	cá	
辛	xīn	san¹	신	tân	
丑	chǒu	cau²	축	sửu	
和	hé	wo⁴	화	hoà	
增	zēng	zang¹	증	tăng	
九	jiǔ	gau²	구	cửu	
値	zhí	zik⁶	치	trị	
估	gū	gu²	고		
算	suàn	syun³	산	toán	
卸	xiè	se³	사		
值	zhí	zik⁶			
減	jiǎn	gaam²	감	giảm	
符	fú	fu⁴	부	bùa	
簽	qiān	cim¹	첨		
復	fù	fuk⁶	복?, 부?		
