Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
匈	xiōng	hung¹	흉	hung	
奴	nú	nou⁴	노	nô	
趙	zhào	ziu⁶	조		
防	fáng	fong⁴	방	phòng	
保	bǎo	bou²	보	bảo	
疆	jiāng	goeng¹	강		
皇	huáng	wong⁴	황	hoàng	
統	tǒng	tung²	통	thống	
夏	xià	haa⁶	하		
遣	qiǎn	hin²	견	khiến	
恬	tián	tim⁴	념	điềm	
伐	fá	fat⁶	벌	phạt	
修	xiū	sau¹	수	tu	
舊	jiù	gau⁶	구		
嘉	jiā	gaa¹	가		
峪	yù	juk⁶			
鉅	jù	geoi⁶	거		
工	gōng	gung¹	공	công	
直	zhí	zik⁶	직		
隸	lì	dai⁶	례		
陕	shǎn	sim²			
甘	gān	gam¹	감	bả?, cam?	
肅	sù	suk¹	숙		
垣	yuán	wun⁴	원		
甄	zhēn	jan¹	견		
尺	chǐ	cek³	척	xích	
峻	jùn	zeon³	준		
峰	fēng	fung¹	봉		
巒	luán	lyun⁴	만		
銳	ruì	jeoi⁶	예		
樓	lóu	lau⁴	누?, 루?	lầu	
眺	tiào	tiu³	조		
守	shǒu	sau²	수	thú	
