Traditional	Qieyun	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
監	見開二銜平?, 見開二銜去?	jiān	gaam¹	감	giám	
監護						the guardianship
被監護人						the ward
列	知三虞平?, 來開三仙入?	liè	lit⁶	렬?, 열?	liệt	to arrange in order; to enumerate
左列						written below; the following
情形						conditions; circumstances
佐	精開一歌去	zuǒ	zo³	좌	tá	to aid; to assist
保佐						the curatorship
準用						to apply
遺	以合三脂平?, 以合三脂去?	yí	wai⁴	유	di	to bequeath
遺囑						a will; a testament
遺囑人						the testator
撤	澄開三仙入?, 徹開三仙入?	chè	cit³	철	triệt	to remove
撤銷						to cancel
