Traditional	Hanyu Pinyin	Jyutping	Korean	Vietnamese	English
雨	yǔ	jyu⁵	우		
春	chūn	ceon¹	춘		
連	lián	lin⁴	련?, 연?	liên	
綿	mián	min⁴	면	miên	
浹	jiā	zip³	협		
旬	xún	ceon⁴	순		
己	jǐ	gei²	기	kỉ	
母	mǔ	mou⁵	모	mẫu	
從	cóng	cung⁴	종	tòng	
光	guāng	gwong¹	광	quang	
熏	xūn	fan¹	훈		
蒸	zhēng	zing¹	증	chưng	
化	huà	faa³	화	hoá	
雲	yún	wan⁴	운	vân	
遇	yù	jyu⁶	우	ngộ	
他	tā	taa¹	타	tha	
廚	chú	cyu⁴	주	chù	
注	zhù	zyu³	주	chú	
釜	fǔ	fu²	부		
須	xū	seoi¹	수	tua	
臾	yú	jyu⁴	유		
沸	fèi	fai³	비	phí	
騰	téng	tang⁴	등		
揭	jiē	kit³	게	yết	
蓋	gài	koi³	개	cái	
視	shì	si⁶	시	thị	
凝	níng	jing⁴	응	ngưng	
球	qiú	kau⁴	구	cầu	
滴	dī	dik⁶	적	nhích	
瀝	lì	lik⁶	력	lạch	
恍	huǎng	fong²	황	hoảng	
